predictor,raw_fi,fi,season,window,window_c,pred_cat
fp_sal,13692.073366890458,0.16695941836544373,Spring/Summer,1,S1,FP
fp_depth_1d,6625.175822901613,0.0807865596627067,Spring/Summer,1,S1,FP
fp_depth_7d,5838.746251444933,0.07119693650502625,Spring/Summer,1,S1,FP
creek_depth,8237.481544036531,0.1004468125853141,Spring/Summer,1,S1,Creek
creek_depth_1d,7084.903458195015,0.08639242055304598,Spring/Summer,1,S1,Creek
creek_depth_7d,3815.729864760112,0.04652852944832591,Spring/Summer,1,S1,Creek
BP_hPa,1989.9426478050018,0.024265110049842473,Spring/Summer,1,S1,Climate
month,5361.685155803318,0.06537971358203848,Spring/Summer,1,S1,Time
sun_position,1652.284763148581,0.02014775232628061,Spring/Summer,1,S1,Time
par,388.52125150722577,0.00473757921361419,Spring/Summer,1,S1,Climate
par_7d,4017.4952689814027,0.048988831378675976,Spring/Summer,1,S1,Climate
rain_mm,18.90432515658846,2.305169602996392e-4,Spring/Summer,1,S1,Climate
rain_1d,1085.4556956645883,0.013235910059308673,Spring/Summer,1,S1,Climate
rain_7d,3550.6349826399023,0.043295995839685325,Spring/Summer,1,S1,Climate
air_temp,2039.8741084120845,0.024873967992515685,Spring/Summer,1,S1,Climate
atemp_1d,7150.005036249641,0.08718626099747104,Spring/Summer,1,S1,Climate
d_temp,1529.4724932575402,0.018650194973226144,Spring/Summer,1,S1,Climate
d_sal,6875.072090595113,0.08383376328102016,Spring/Summer,1,S1,Climate
d_do,1054.9334981189427,0.012863726226158974,Spring/Summer,1,S1,Climate
fp_sal,17834.20161690823,0.16658961406085182,Spring/Summer,2,S2,FP
fp_depth_1d,8810.718699785746,0.08230108974457662,Spring/Summer,2,S2,FP
fp_depth_7d,6762.603420976129,0.0631696062513347,Spring/Summer,2,S2,FP
creek_depth,9901.546475794692,0.09249053259801515,Spring/Summer,2,S2,Creek
creek_depth_1d,8193.209014892736,0.07653292011776051,Spring/Summer,2,S2,Creek
creek_depth_7d,4224.537001347394,0.03946147990011657,Spring/Summer,2,S2,Creek
BP_hPa,2044.8137833909848,0.019100644162195427,Spring/Summer,2,S2,Climate
month,8493.103716889895,0.07933424219192813,Spring/Summer,2,S2,Time
sun_position,2048.8636199980133,0.0191384737624134,Spring/Summer,2,S2,Time
par,584.0858641997338,0.005455957086589297,Spring/Summer,2,S2,Climate
par_7d,6138.9986757024735,0.05734450255041198,Spring/Summer,2,S2,Climate
rain_mm,15.374745953597591,1.4361579226878184e-4,Spring/Summer,2,S2,Climate
rain_1d,1083.5338426773496,0.010121310084459175,Spring/Summer,2,S2,Climate
rain_7d,3548.6245356655377,0.03314776879515152,Spring/Summer,2,S2,Climate
air_temp,4442.738482367366,0.0414997040545503,Spring/Summer,2,S2,Climate
