mae,nse,r2,rmse,season,window,window_c
1.256012429142727,0.14325756938104817,0.43,1.901948951289944,Spring/Summer,1,S1
0.9461646440479766,0.4475398176836638,0.45,1.2637053578607829,Spring/Summer,2,S2
1.0997446062154552,0.2594148959530387,0.27,1.3780953301715002,Spring/Summer,3,S3
1.2888783738504768,-0.7821815394677623,0.11,1.660855809139655,Spring/Summer,4,S4
1.4416235203946703,0.01974719275210457,0.53,1.721159149140379,Spring/Summer,5,S5
1.2128993093392946,0.02875337941411993,0.32,1.503125079718098,Fall/Winter,1,F1
1.0092494582592693,0.6968082508110318,0.8,1.2704386623357142,Fall/Winter,2,F2
1.160158445625029,0.33128950110249855,0.35,1.4215879703903573,Fall/Winter,3,F3
0.7942917670336166,0.6238495658544164,0.63,1.0247683379105346,Fall/Winter,4,F4
0.9938602087672007,0.6563957252025898,0.71,1.3078313564788364,Fall/Winter,5,F5
