mae,nse,r2,rmse,season,window,window_c,type
1.1478174070122111,0.42262479784288953,0.5,1.5825967764736728,Spring/Summer,1,S1,Aquatic
0.8943855606320084,0.44612031677110775,0.5,1.308934140434838,Spring/Summer,2,S2,Aquatic
1.4128352509821969,-0.41835802113511367,0.24,1.8565716000704282,Spring/Summer,3,S3,Aquatic
1.224133972779353,-0.45874347799646276,0,1.5196476974063537,Spring/Summer,4,S4,Aquatic
1.20023643317944,0.29838025593739514,0.37,1.4467765737407765,Spring/Summer,5,S5,Aquatic
1.0480436586684392,0.17635144571320782,0.18,1.3451148726119135,Fall/Winter,1,F1,Aquatic
1.2976076815769053,0.5178336619454881,0.56,1.6155570864710256,Fall/Winter,2,F2,Aquatic
1.391541789814144,0.11450843222645024,0.22,1.70694402408107,Fall/Winter,3,F3,Aquatic
1.063933597437933,0.38357914835980733,0.44,1.326772555549441,Fall/Winter,4,F4,Aquatic
1.1632043789202962,0.5213598351329264,0.54,1.5469554563840255,Fall/Winter,5,F5,Aquatic
2.01239908141962,-0.790544987309195,0,2.7869798688332175,Spring/Summer,1,S1,Climatic
1.7204524245370882,-0.33866147631264565,0,2.0349111928415606,Spring/Summer,2,S2,Climatic
1.5240976974090195,-0.6080468617083459,0.01,1.97682451705894,Spring/Summer,3,S3,Climatic
1.2232572353291509,-0.4958276183392667,0,1.538842692309887,Spring/Summer,4,S4,Climatic
1.9620682466817159,-0.7977377471238214,0.02,2.3158676479752978,Spring/Summer,5,S5,Climatic
1.6221424465612293,-0.7699920108222189,0,1.9718508292691046,Fall/Winter,1,F1,Climatic
1.7401604057185867,0.21612189898145096,0.64,2.059909454488497,Fall/Winter,2,F2,Climatic
1.7758832934705702,-0.3826677491392656,0.02,2.1329760599297676,Fall/Winter,3,F3,Climatic
1.418960936254078,-0.18027341292944654,0.18,1.8359004616550065,Fall/Winter,4,F4,Climatic
1.9404798959740683,-0.1934440543593574,0.21,2.4427232806752133,Fall/Winter,5,F5,Climatic
1.9299338902526872,-0.09505213393959111,0.01,2.179508720653029,Spring/Summer,1,S1,Terrestrial
1.3708301796941897,0.10408830369978195,0.33,1.6647256877916872,Spring/Summer,2,S2,Terrestrial
1.5520757303227948,-0.6057960239669569,0.16,1.9754405184141515,Spring/Summer,3,S3,Terrestrial
1.4146463710075607,-0.8930575487460659,0,1.7311526346086674,Spring/Summer,4,S4,Terrestrial
1.352268560339081,0.11951088260690834,0.45,1.6207370619090355,Spring/Summer,5,S5,Terrestrial
1.2882370092251025,-0.21770248120463576,0.18,1.635531827222152,Fall/Winter,1,F1,Terrestrial
0.7634945250679278,0.8126914299138388,0.82,1.0069379039522486,Fall/Winter,2,F2,Terrestrial
1.723955627045617,-0.5553667817081458,0.08,2.2622649882966837,Fall/Winter,3,F3,Terrestrial
0.9920485255629332,0.40698833167396076,0.45,1.3013359823341666,Fall/Winter,4,F4,Terrestrial
1.4172244787832908,0.3432794922781126,0.48,1.812022258423558,Fall/Winter,5,F5,Terrestrial
1.2462492028617242,0.26038177577057187,0.44,1.791203853816696,Spring/Summer,1,S1,Aquatic+Climatic
0.9464195156065236,0.4760089815441475,0.54,1.2731277935623264,Spring/Summer,2,S2,Aquatic+Climatic
1.307991322501023,-0.15748623957958396,0.41,1.6771684597674292,Spring/Summer,3,S3,Aquatic+Climatic
1.1191689999557057,-0.1748564189651607,0,1.3637848125233947,Spring/Summer,4,S4,Aquatic+Climatic
1.604378598912486,-0.2567327518238911,0.04,1.9362972729492984,Spring/Summer,5,S5,Aquatic+Climatic
1.1206232375900071,0.07510947153111425,0.08,1.4253895495066782,Fall/Winter,1,F1,Aquatic+Climatic
1.3507458782338673,0.5084637091705337,0.66,1.631179140128912,Fall/Winter,2,F2,Aquatic+Climatic
1.3059010965977036,0.19729029221119,0.25,1.625198160828164,Fall/Winter,3,F3,Aquatic+Climatic
1.0338610026077744,0.4548573138065558,0.47,1.2477078683028424,Fall/Winter,4,F4,Aquatic+Climatic
1.4057323273194886,0.3709491158657878,0.45,1.7734384797440452,Fall/Winter,5,F5,Aquatic+Climatic
1.2739068734706507,0.27986978918609595,0.61,1.7674483386960291,Spring/Summer,1,S1,Aquatic+Terrestrial
0.8676287502548417,0.5900522764548485,0.64,1.1260931517909487,Spring/Summer,2,S2,Aquatic+Terrestrial
1.1343642364538569,0.12361481794702123,0.45,1.4593729130525321,Spring/Summer,3,S3,Aquatic+Terrestrial
0.9731456501181192,-0.020003210436407848,0.1,1.2707327473831695,Spring/Summer,4,S4,Aquatic+Terrestrial
1.2416905267518215,0.22758106584534,0.46,1.5180183542118593,Spring/Summer,5,S5,Aquatic+Terrestrial
1.1696862391215241,-0.03184951615349818,0.22,1.505554865797668,Fall/Winter,1,F1,Aquatic+Terrestrial
0.8810389948447356,0.7736030265238725,0.83,1.1070294473050228,Fall/Winter,2,F2,Aquatic+Terrestrial
1.1106649866714937,0.36698366032960117,0.46,1.4432265999975331,Fall/Winter,3,F3,Aquatic+Terrestrial
