"","datetime","date","time","depth.m","temp.c","sal.pss","do.mgl","do.sat","ph","turbidity.fnu","fdom.qsu","chlorophyll.ugl"
"26",2018-07-11 11:30:00,2018-07-11,"11:30:00",-0.003,24.872,0,8.41,101.5,7.61,7.94,0.25,0.83
"27",2018-07-11 12:00:00,2018-07-11,"12:00:00",0.021,20.25,1.54,7.66,85.4,7.17,25.3,3.95,2
"28",2018-07-11 12:30:00,2018-07-11,"12:30:00",-0.008,19.977,1.45,7.75,85.9,7.14,21.04,41.37,1.82
"29",2018-07-11 13:00:00,2018-07-11,"13:00:00",-0.007,19.381,1.3,7.65,83.7,7.13,23.63,40.59,1.84
"30",2018-07-11 13:30:00,2018-07-11,"13:30:00",-0.007,18.861,1.19,7.59,82.2,7.13,18.02,42.11,1.83
"31",2018-07-11 14:00:00,2018-07-11,"14:00:00",-0.01,18.546,1.09,7.55,81.1,7.12,17.32,43.06,1.71
"32",2018-07-11 14:30:00,2018-07-11,"14:30:00",-0.01,18.222,1.03,7.47,79.8,7.12,15.77,43.36,1.78
"33",2018-07-11 15:00:00,2018-07-11,"15:00:00",0.132,18.127,1.22,7.18,76.6,7.13,14.99,43.87,1.81
"34",2018-07-11 15:30:00,2018-07-11,"15:30:00",0.393,20.782,4.53,7.06,81,7.13,15.66,41.18,2.19
"35",2018-07-11 16:00:00,2018-07-11,"16:00:00",0.672,21.247,10.21,7.15,85.6,7.26,11.66,35.38,3.62
"36",2018-07-11 16:30:00,2018-07-11,"16:30:00",0.946,20.864,12.19,7.62,91.6,7.39,20.31,27.15,5.23
"37",2018-07-11 17:00:00,2018-07-11,"17:00:00",1.273,20.452,15.75,7.79,94.9,7.55,10.25,23.81,6.65
"38",2018-07-11 17:30:00,2018-07-11,"17:30:00",1.566,20.312,19.28,7.75,96.1,7.69,9.21,19.97,8.05
"39",2018-07-11 18:00:00,2018-07-11,"18:00:00",1.818,20.36,20.89,7.72,96.7,7.75,7.48,18.14,8.74
"40",2018-07-11 18:30:00,2018-07-11,"18:30:00",1.986,20.424,22.71,7.7,97.5,7.8,6.99,16.38,8.25
"41",2018-07-11 19:00:00,2018-07-11,"19:00:00",2.097,20.349,24.76,7.73,99.1,7.88,7.14,14.06,7.89
"42",2018-07-11 19:30:00,2018-07-11,"19:30:00",2.144,20.079,25.84,7.69,98.6,7.9,6,12.86,7.4
"43",2018-07-11 20:00:00,2018-07-11,"20:00:00",2.047,20.193,24.95,7.57,96.9,7.88,5.7,14.09,6.35
"44",2018-07-11 20:30:00,2018-07-11,"20:30:00",1.86,20.267,23.97,7.42,94.4,7.83,8.28,15.43,5.99
"45",2018-07-11 21:00:00,2018-07-11,"21:00:00",1.564,20.061,21.38,7.1,88.7,7.64,5.01,21.31,5.72
"46",2018-07-11 21:30:00,2018-07-11,"21:30:00",1.254,19.733,19.06,6.73,82.4,7.48,7.71,27.08,5.08
"47",2018-07-11 22:00:00,2018-07-11,"22:00:00",0.954,19.239,18.67,6.45,78.1,7.22,6.89,30.17,4.48
"48",2018-07-11 22:30:00,2018-07-11,"22:30:00",0.657,18.275,11.72,6.19,70.5,6.92,8.95,41.19,3.81
"49",2018-07-11 23:00:00,2018-07-11,"23:00:00",0.358,17.317,8.42,6.11,66.9,6.78,36.09,43.38,3.76
"50",2018-07-11 23:30:00,2018-07-11,"23:30:00",0.132,16.584,8.43,6.51,70.3,6.77,55.43,37.62,4.82
"51",2018-07-12 00:00:00,2018-07-12,"0:00:00",0.05,16.191,8.9,6.77,72.6,6.79,62.37,38.69,4.58
"52",2018-07-12 00:30:00,2018-07-12,"0:30:00",0.024,15.944,8.64,6.87,73.3,6.8,38.71,43.93,3.75
"53",2018-07-12 01:00:00,2018-07-12,"1:00:00",0.014,15.731,8.35,6.92,73.4,6.8,26.15,46.18,3.19
"54",2018-07-12 01:30:00,2018-07-12,"1:30:00",0.009,15.571,7.96,6.95,73.3,6.8,33.9,48.09,2.94
"55",2018-07-12 02:00:00,2018-07-12,"2:00:00",0.004,15.423,7.49,7.02,73.6,6.8,25.83,48.94,2.8
"56",2018-07-12 02:30:00,2018-07-12,"2:30:00",0.001,15.331,7.02,7.08,73.8,6.8,20.68,49.65,2.7
"57",2018-07-12 03:00:00,2018-07-12,"3:00:00",-0.005,15.341,6.56,7.15,74.3,6.8,23.62,49.51,2.62
"58",2018-07-12 03:30:00,2018-07-12,"3:30:00",-0.006,15.416,6.15,7.22,75,6.81,17.35,50.17,2.53
"59",2018-07-12 04:00:00,2018-07-12,"4:00:00",-0.011,15.569,5.71,7.27,75.6,6.81,16.49,49.82,2.43
"60",2018-07-12 04:30:00,2018-07-12,"4:30:00",-0.014,15.757,5.32,7.31,76.1,6.81,15.06,49.49,2.22
"61",2018-07-12 05:00:00,2018-07-12,"5:00:00",-0.017,16.031,4.94,7.35,76.8,6.82,15.24,49.39,2.14
"62",2018-07-12 05:30:00,2018-07-12,"5:30:00",-0.018,16.366,4.61,7.38,77.5,6.83,13.59,48.74,2.08
"63",2018-07-12 06:00:00,2018-07-12,"6:00:00",0.036,16.77,4.38,7.43,78.5,6.84,11.59,49.24,2.06
