predictor,raw_fi,fi,season,window,window_c
creek_temp,2904.539800547371,0.033834047903311064,Spring/Summer,1,S1
creek_sal,5968.573362131268,0.06952598721860145,Spring/Summer,1,S1
creek_do,1240.979000530043,0.014455764366879703,Spring/Summer,1,S1
creek_depth,8901.53131731971,0.10369106904517585,Spring/Summer,1,S1
creek_depth_1d,4068.3585534230842,0.047390997416672166,Spring/Summer,1,S1
creek_sal_1d,3028.6609548601214,0.03527989522137517,Spring/Summer,1,S1
creek_do_1d,7114.577062789749,0.08287541493108923,Spring/Summer,1,S1
fp_do,1537.9481944126012,0.01791506278301317,Spring/Summer,1,S1
fp_depth,8343.786873108369,0.09719408379481162,Spring/Summer,1,S1
fp_depth_1d,3980.6001782498815,0.04636872839182791,Spring/Summer,1,S1
fp_sal_1d,12399.868381405491,0.14444206987012614,Spring/Summer,1,S1
fp_temp_1d,12394.77134423137,0.14438269612703553,Spring/Summer,1,S1
fp_do_1d,1177.196991545875,0.01371278830336249,Spring/Summer,1,S1
air_temp,1603.040668971988,0.018673304037607898,Spring/Summer,1,S1
rain_mm,17.764622132697863,2.0693435707393288e-4,Spring/Summer,1,S1
par,461.4891130360292,0.005375737923913118,Spring/Summer,1,S1
BP_hPa,1388.9891114857014,0.016179886440643124,Spring/Summer,1,S1
air_temp_1d,5069.883757266726,0.05905744169016199,Spring/Summer,1,S1
par_1d,1316.8844726572515,0.015339962744740261,Spring/Summer,1,S1
rain_mm_1d,808.2725364516516,0.009415306243034527,Spring/Summer,1,S1
BP_hPa_1d,2118.9376080480083,0.024682821189543697,Spring/Summer,1,S1
creek_temp,7204.279845977897,0.06430081736089055,Spring/Summer,2,S2
creek_sal,7859.373231267233,0.07014776404013902,Spring/Summer,2,S2
creek_do,2996.6910171760114,0.026746557033043832,Spring/Summer,2,S2
creek_depth,11117.65692144297,0.09922913080421979,Spring/Summer,2,S2
creek_depth_1d,5044.202958185659,0.045021345655616135,Spring/Summer,2,S2
creek_sal_1d,3237.6955724014083,0.028897610326364006,Spring/Summer,2,S2
creek_do_1d,15912.855330006396,0.142028020307438,Spring/Summer,2,S2
fp_do,2328.467125353357,0.020782415808260568,Spring/Summer,2,S2
fp_depth,11626.237711324107,0.10376839929219529,Spring/Summer,2,S2
fp_depth_1d,5335.191200408349,0.04761852153125538,Spring/Summer,2,S2
fp_sal_1d,15788.018973103486,0.1409138104270855,Spring/Summer,2,S2
fp_do_1d,1367.8501544578833,0.012208560028101403,Spring/Summer,2,S2
